videoid,contentUrl,duration,data_dir,instruction,dynamic_confidence,dynamic_wording,dynamic_source_category,embodiment
0,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
1,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
2,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
3,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
4,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
5,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
6,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
7,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
8,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
9,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
10,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
11,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
12,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
13,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
14,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
15,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
16,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
17,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
18,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
19,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
20,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
21,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
22,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
23,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
24,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
25,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
26,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
27,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
28,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
29,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
30,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
31,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
32,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
33,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
34,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
35,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
36,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
37,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
38,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
39,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
40,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
41,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
42,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
43,x,x,metal_part_sort_v5/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
